City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Ahipara,NZ,2022-02-01 20:13:17,-35.1667,173.1667,70.48,83,100,15.64
132,Lata,PT,2022-02-01 20:13:17,40.1629,-8.3327,46.92,70,0,5.28
133,Bosaso,SO,2022-02-01 20:14:17,11.2842,49.1816,76.6,77,88,4.97
134,Thompson,CA,2022-02-01 20:14:18,55.7435,-97.8558,-12.14,85,78,12.28
135,Sovetskiy,RU,2022-02-01 20:14:18,61.3614,63.5842,6.15,97,100,6.49
136,Krupina,SK,2022-02-01 20:14:18,48.3554,19.0647,33.04,95,48,7.0
137,Santa Fe,AR,2022-02-01 20:14:19,-31.6333,-60.7,98.02,35,0,7.0
138,Urusha,RU,2022-02-01 20:14:19,54.05,122.9,-11.42,92,94,4.21
139,Saint-Augustin,CA,2022-02-01 20:14:19,51.226,-58.6502,2.86,77,1,11.81
140,Hithadhoo,MV,2022-02-01 20:14:19,-0.6,73.0833,82.54,72,5,11.34
141,Xichang,CN,2022-02-01 20:14:20,27.8964,102.2634,34.18,97,100,5.06
142,Yar-Sale,RU,2022-02-01 20:14:20,66.8333,70.8333,-16.71,99,69,6.49
143,Walvis Bay,NA,2022-02-01 20:14:20,-22.9575,14.5053,70.09,79,35,5.21
144,Totness,SR,2022-02-01 20:14:21,5.8833,-56.3167,81.36,69,86,12.08
145,Briancon,FR,2022-02-01 20:14:21,44.9,6.65,34.63,92,41,7.07
146,Saskylakh,RU,2022-02-01 20:12:12,71.9167,114.0833,-28.08,100,51,1.74
147,Mbale,UG,2022-02-01 20:11:02,1.0821,34.175,72.23,63,95,4.92
148,Lagoa,PT,2022-02-01 20:14:21,39.05,-27.9833,58.48,76,41,17.27
149,Chuy,UY,2022-02-01 20:14:22,-33.6971,-53.4616,73.63,45,0,8.72
150,Bairnsdale,AU,2022-02-01 20:14:22,-37.8333,147.6167,59.47,85,5,1.01
151,Buala,SB,2022-02-01 20:14:22,-8.145,159.5921,80.74,84,100,6.4
152,Poum,NC,2022-02-01 20:14:23,-20.2333,164.0167,80.76,78,59,10.2
153,Mikhaylovka,RU,2022-02-01 20:14:23,50.06,43.2379,32.79,92,100,13.89
