City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
98,Churachandpur,IN,24.3333,93.6667,58.77,58,55,3.56,broken clouds,2022-02-04 02:52:12
99,Nikolskoye,RU,59.7035,30.7861,1.29,100,100,2.77,overcast clouds,2022-02-04 02:47:40
100,Jamestown,US,42.097,-79.2353,23.09,67,100,5.01,snow,2022-02-04 02:50:54
101,Najran,SA,17.4924,44.1277,52.45,34,5,5.41,clear sky,2022-02-04 02:52:13
102,Svarstad,NO,59.399,9.9698,40.82,84,100,9.28,overcast clouds,2022-02-04 02:52:13
103,Kodiak,US,57.79,-152.4072,38.71,87,100,12.66,mist,2022-02-04 02:52:13
104,Kyshtovka,RU,56.555,76.6271,15.31,85,100,13.87,overcast clouds,2022-02-04 02:52:14
105,Lerici,IT,44.0759,9.9112,53.01,91,100,8.39,overcast clouds,2022-02-04 02:52:14
106,Calafell,ES,41.2,1.5683,55.38,62,100,6.06,overcast clouds,2022-02-04 02:52:14
107,Jumla,NP,29.2747,82.1838,34.86,94,100,6.22,snow,2022-02-04 02:52:15
108,Gamba,GA,-2.65,10.0,73.94,89,100,2.1,overcast clouds,2022-02-04 02:52:15
109,Were Ilu,ET,10.6,39.4333,47.07,44,64,5.1,broken clouds,2022-02-04 02:52:15
110,Guerrero Negro,MX,27.9769,-114.0611,59.18,30,0,15.28,clear sky,2022-02-04 02:52:16
111,Ngunguru,NZ,-35.6167,174.5,76.15,82,33,13.47,scattered clouds,2022-02-04 02:52:16
112,Kiunga,PG,-6.1219,141.2906,94.1,44,18,3.49,few clouds,2022-02-04 02:49:51
113,Qaanaaq,GL,77.484,-69.3632,-13.45,56,99,8.46,overcast clouds,2022-02-04 02:52:16
114,Lerwick,GB,60.1545,-1.1494,37.4,47,100,29.28,overcast clouds,2022-02-04 02:52:17
115,Hualmay,PE,-11.0964,-77.6139,70.56,82,83,8.48,broken clouds,2022-02-04 02:52:17
116,Kahului,US,20.8947,-156.47,79.86,64,20,18.41,few clouds,2022-02-04 02:52:17
117,Diego De Almagro,CL,-26.3667,-70.05,63.64,40,0,1.57,clear sky,2022-02-04 02:52:17
118,Angoche,MZ,-16.2325,39.9086,74.25,91,100,5.03,overcast clouds,2022-02-04 02:52:18
119,Port Alfred,ZA,-33.5906,26.891,69.89,74,97,15.95,overcast clouds,2022-02-04 02:52:10
120,East London,ZA,-33.0153,27.9116,69.28,80,100,15.37,light rain,2022-02-04 02:47:34
121,Orzu,TJ,37.5593,68.8184,32.4,51,0,5.77,clear sky,2022-02-04 02:52:18
122,Thinadhoo,MV,0.5333,72.9333,81.95,70,75,8.46,broken clouds,2022-02-04 02:48:35
123,Ponta Do Sol,PT,32.6667,-17.1,66.0,71,25,4.09,scattered clouds,2022-02-04 02:52:19
124,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,88,40,0.0,scattered clouds,2022-02-04 02:52:19
125,Dangtu,CN,31.5723,118.4928,41.05,65,46,3.67,scattered clouds,2022-02-04 02:52:19
126,Limoeiro Do Ajuru,BR,-1.8953,-49.3806,75.63,92,100,7.65,overcast clouds,2022-02-04 02:52:20
127,Bonavista,CA,48.6499,-53.1147,39.11,89,100,27.2,overcast clouds,2022-02-04 02:52:20
128,Atuona,PF,-9.8,-139.0333,79.0,72,4,17.02,clear sky,2022-02-04 02:52:20
129,Porgera,PG,-5.4667,143.2,59.83,46,94,6.8,overcast clouds,2022-02-04 02:52:21
130,Mushie,CD,-3.0167,16.9,70.45,92,100,0.6,overcast clouds,2022-02-04 02:52:21
131,Ugleuralskiy,RU,58.9534,57.5846,4.87,100,100,1.79,overcast clouds,2022-02-04 02:52:21
132,Saint George,US,37.1041,-113.5841,41.59,32,0,1.01,clear sky,2022-02-04 02:52:22
133,Adrar,MR,20.5022,-10.0711,60.08,21,0,9.93,clear sky,2022-02-04 02:51:49
134,Hatillo,PR,18.4863,-66.8254,76.08,92,99,1.99,overcast clouds,2022-02-04 02:52:22
135,Yuci,CN,37.6803,112.7319,26.35,28,0,11.18,clear sky,2022-02-04 02:53:22
136,Necochea,AR,-38.5473,-58.7368,66.04,94,100,7.05,overcast clouds,2022-02-04 02:53:23
137,Maymyo,MM,22.0333,96.4667,64.13,40,0,2.64,clear sky,2022-02-04 02:53:23
138,Tucumcari,US,35.1717,-103.725,5.94,96,72,2.82,broken clouds,2022-02-04 02:53:23
139,Puerto Escondido,MX,15.85,-97.0667,75.6,71,0,2.77,clear sky,2022-02-04 02:52:03
140,Gouyave,GD,12.1646,-61.7296,75.97,78,20,3.44,few clouds,2022-02-04 02:53:24
141,Upernavik,GL,72.7868,-56.1549,4.57,67,100,6.62,overcast clouds,2022-02-04 02:49:23
142,Anloga,GH,5.7947,0.8973,80.82,81,0,6.02,light rain,2022-02-04 02:53:24
143,Kapaa,US,22.0752,-159.319,78.78,67,0,1.01,clear sky,2022-02-04 02:49:29
144,Argostolion,GR,38.1811,20.489,45.34,46,4,3.53,clear sky,2022-02-04 02:53:25
145,Tessalit,ML,20.1986,1.0114,55.69,18,0,11.63,clear sky,2022-02-04 02:53:25
146,Mount Gambier,AU,-37.8333,140.7667,71.51,43,75,12.66,broken clouds,2022-02-04 02:53:25
147,Ayagoz,KZ,47.9714,80.4392,-10.41,94,87,6.2,overcast clouds,2022-02-04 02:53:26
148,Khromtau,KZ,50.2503,58.4347,13.68,87,99,9.86,overcast clouds,2022-02-04 02:53:26
149,Vestmannaeyjar,IS,63.4427,-20.2734,27.77,68,27,34.09,scattered clouds,2022-02-04 02:49:05
150,Kawalu,ID,-7.3817,108.2082,86.58,56,28,1.63,scattered clouds,2022-02-04 02:53:26
151,Angouleme,FR,45.65,0.15,45.55,92,100,4.61,mist,2022-02-04 02:53:27
152,Marawi,PH,7.9986,124.2928,71.65,86,100,2.17,moderate rain,2022-02-04 02:53:27
153,Wenling,CN,28.3669,121.36,45.91,75,94,13.94,overcast clouds,2022-02-04 02:53:27
154,Sitka,US,57.0531,-135.33,44.49,81,100,19.57,mist,2022-02-04 02:50:29
155,Villers-Les-Nancy,FR,48.671,6.1508,42.39,97,100,5.75,mist,2022-02-04 02:53:28
156,Sibu,MY,2.3,111.8167,80.91,88,40,5.99,scattered clouds,2022-02-04 02:53:28
157,Ndjole,GA,-0.1783,10.7649,73.94,97,100,2.04,light rain,2022-02-04 02:53:28
158,Evensk,RU,61.95,159.2333,16.99,44,39,24.47,scattered clouds,2022-02-04 02:53:28
159,Bethel,US,41.3712,-73.414,48.47,92,100,6.91,light rain,2022-02-04 02:49:31
160,Jalu,LY,29.0331,21.5482,49.5,62,6,11.99,clear sky,2022-02-04 02:53:29
161,Guiberoua,CI,6.2392,-6.1727,68.36,99,23,2.26,few clouds,2022-02-04 02:53:29
162,Caconda,AO,-13.7333,15.0667,57.25,85,100,2.62,overcast clouds,2022-02-04 02:53:29
163,Ilhabela,BR,-23.7781,-45.3581,75.72,92,87,8.68,overcast clouds,2022-02-04 02:50:39
164,Beloha,MG,-25.1667,45.05,71.22,92,6,9.62,clear sky,2022-02-04 02:53:30
165,Kangalassy,RU,62.3464,129.9628,-18.08,90,100,6.44,overcast clouds,2022-02-04 02:53:30
166,Alvdal,NO,62.1077,10.6307,26.44,95,100,11.39,light snow,2022-02-04 02:53:31
167,Torbay,CA,47.6666,-52.7314,38.57,87,100,16.11,light rain,2022-02-04 02:53:31
168,Moron,AR,-34.6534,-58.6198,73.15,89,0,5.14,clear sky,2022-02-04 02:53:31
169,Nuoro,IT,40.3211,9.3297,45.59,63,100,5.46,overcast clouds,2022-02-04 02:53:31
170,San Andres,CO,12.5847,-81.7006,80.62,78,20,9.22,few clouds,2022-02-04 02:49:32
171,Sola,VU,-13.8833,167.55,80.6,78,100,10.71,light rain,2022-02-04 02:53:32
172,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,6.91,broken clouds,2022-02-04 02:53:32
173,Maralal,KE,1.0968,36.698,59.5,65,100,6.35,overcast clouds,2022-02-04 02:53:32
174,Mahebourg,MU,-20.4081,57.7,80.89,94,75,24.16,broken clouds,2022-02-04 02:53:33
175,Altay,CN,47.8667,88.1167,5.97,63,5,6.26,clear sky,2022-02-04 02:53:33
